times asked,submitted,keyword,pos,enumeration,tok,eng,examples
0,ijo vivi,attention,interj,,o kute,call for someone's attention,**o kute a**! | sona ni li suli. | **Attention** please! This is really important.
0,kala Asi,authority,,,"ken, lawa",ability or permission to be in command,"sitelen li suno la wawa li tawa lon insa sina. sina **ken**. | As the symbol glows, power courses through you. **Authority**.
open la ona li toki utala e ni: ona a li **lawa** e kulupu. | He asserted his **authority** over the team right from the start."
6,"mute ante, ijo vivi",autism,,,"ante lawa, lawa (li) ante, nasa lawa, lawa (li) nasa; nasin lawa (ante) la ...","a type of neurodivergency characterized by divergence in social situations, among many other symptoms","**lawa** mi li **ante**. | I am **autistic**.
**nasin lawa** mi la moku mute li pana e pilin jaki tawa uta mi. | I'm **autistic**, so many foods will have an unpleasant texture to me."
4,jan Lisente,awake,,,(li) lape ala,"not sleeping or in a coma, conscious","sewi li pimeja. taso ona **li lape ala**. | It is nighttime, but she is **awake**."
0,kala Asi,away,,,(tawa) weka,to a remote destination,"o **weka**! weka ala la mi toki utala sin e sina. | Now go **away**, or I shall taunt you a second time."
0,kala Asi,away,,,lon weka,at a remote location,"ilo tawa li wile e telo wawa la tomo telo li lon **weka** ike. | If we need to refuel, the nearest gas station is miles **away**."
0,jan Lisente,baby,,,(jan) lili,"a very young animal, before being a child",**jan lili** li musi kepeken leko. | The **baby** is playing with blocks.
3,pakala Mapuju,back,,1,monsi,the side opposite to the front,sitelen musi li lon **monsi** pi tomo ni. | There's a mural on the **back** of that building.
3,pakala Mapuju,back,,1a,monsi (sijelo),the back part of the body,"a, **monsi** mi li pilin pakala. | Ugh, my **back** hurts."
4,kala Asi,bad,,,ike,"not good, negative, evil, unpleasant",tenpo ale la jan **ike** li kama lawa e ma. | It is always **bad** people who get to rule.
4,kala Asi,bad,,,jaki,"spoiled, rotten, foul",tenpo li weka la moku li kama **jaki**. | Given enough time food goes **bad**.
4,kala Asi,bad,,,"wawa, a",as an intensifier,ona li wile **a** utala lon poka. | He **badly** wanted to join the fight.
0,lipamanka,bagpipe,,,"selo palisa kon, ilo kalama kon, etc.",a large instrument composed of a skin that is filled with air and squeezed into usually four pipes: three drones and one chanter,"""a, lipamanka li sona e nasin pi **selo palisa kon""** | ""Oh lipamanka knows how to play **bagpipes.""**
**selo pi palisa luka** li kalama ike tawa mi. | I hate the way the **bagpipes** sound. 
**ilo kalama kon selo** li kama pakala, la mi mu musi pi pilin pona. | When **bagpipes** break, I laugh of joy. "
0,jan Lisente,ball,,,"sike, sike musi",a spherical object small enough to be held in hand,"musi la jan li noka e **sike** tawa poki ni sinpin. | In the game, you kick the **ball** to that goal in front of us."
0,lipamanka,bamboo,,,kasi palisa,a long segmented plant indigenous to Asia ,"sina sona ala sona e ni: **kasi palisa** li lili, la jan li ken moku e ona a! | Did you know that very young **bamboo** is edible?"
0,jan Lakuse,banana,,,kili palisa jelo,"a long, yellow-skinned fruit","tomo soweli pi pona sijelo li pana e **kili palisa jelo** pi mani ala la jan Sojana li kama jo e kili ni luka tu. | The vet was giving out free **bananas,** so Johanna took seven. 
mi esun e **kili palisa** sin laso li weka e ona. |  I bought green **bananas**, then forgot about them. 
sona sina la, moku pi **kili palisa** pimeja li ken ala ken pakala e jan? | Do you know whether black **bananas** are safe to eat?"
0,,bare,,,,,
0,,barely,,,,,
0,"pakala Mapuju, jan Lakuse",base,n,1,anpa,"the bottom, supporting edge of something",**anpa** pi sitelen jan kiwen li pakala la ona li ken ala awen sinpin li tawa anpa taso. | The mannequin's **base** is broken so it just falls over. 
0,jan Lakuse,base,,2,tomo,a strategically-located structure that holds resources,"lon anpa pi nena Somolama la jan Masa li lape lon **tomo.** | Marshall slept at the **base** located at the bottom of Mount Everest.
ma Mewika li wile len e sona ni: **tomo** ona li lon ma Akensina. | The United States wants to hide that they have a **base** operating in Argentina. "
0,lipamanka,base on,v,,"tan, pali tan ",to design with something as a prototype,mi **pali** e ilo ni **tan** sitelen pi jan Pensiman. | I **based** this tool **on** Benjamin's designs.
7,lipamanka,based,adj,,pona,politically aligned with the speaker (originally from 4chan) ,nasin ona li **pona** a. | She has **based** opinions.
0,lipamanka,bat,n,1,waso,a flying mammal,"**waso** li mu, la ona li ken lukin kute. | When **bats** make noises, they can see with their ears. "
0,lipamanka,bat,n,2,palisa,a large stick used for baseball and as a weapon,mi utala **palisa** e sina lon tenpo ni: sina toki jaki e mije mi. | I'll hit you with my **bat** the moment you talk shit about my husband. 
0,lipamanka,bat,v,2,pini (sike) e lukin,(of an eye) to close (often repeatedly),"meli lili li **pini sike e lukin** ona la o sona e ni: ona li ken ala pali ike. | When a young girl **bats** her eyes at you, you know that she can do no wrong. "
0,lipamanka,bat (away) ,v,1,luka,to push something away with the hand in quick motions,mi **luka** e sina tan ni: mi wile weka e sina. | I'm **batting** you away because I want you to go away. 
0,lipamanka,bath,n,,poki telo,"a receptacle for cleaning one's body, typically while reclined","mi lon **poki telo** la mi ken ala toki uta tan nasa. | I'm in the **bath,** so I won't join voice chat because that would be weird. "
0,lipamanka,bathe,v,,telo e,to [clean] one's body while reclined,"mi **telo e mi** la kon mi li pona tawa nena. | When I **bathe**, I smell good."
0,lipamanka,bathroom,n,,"tomo jaki, tomo telo",a room deticated to removal of waste from inside one's body and grime from the flesh,"suno ni la mi tawa **tomo jaki** lon tenpo mute ale tu tu, taso sina ken ala sona e tan. | Today I went to the **bathroom** two thousand and four times, but you're not allowed to know why. "
0,,battle,,,,,
6,kala Asi,be,v,1,∅,linking verb (copula),"mi wile moku. | I **am** hungry.
sina o sina. | Just **be** yourself. "
6,"kala Asi, lipamanka",be,v,2,lon,exist (at a location),"mi pilin la mi **lon**. | I think, therefore I **am**.
mi wile **lon** supa pi jan majuna. | I want **to be** at the grown up's table."
0,ijo vivi,be made of,,,∅; jan li pali kepeken...,indicating material or means of manufacture,"sinpin ni li kiwen wawa la mi ken ala pakala e ona. | The door **is made of** solid steel, so we won't be able to break it down.
mi **pali e** poki ni **kepeken** linja kasi a. | This basket **is made of** straw."
3,jan Lakuse,bear,n,1,"soweli, soweli suli","a large mammal with shaggy fur, a small tail, and flat feet","mi kama alasa e soweli. | We're going on a bear hunt.
o luka ala e soweli suli. | Don't touch the bear."
3,jan Lakuse,bear,n,1a,soweli pimeja (pi ma Amelika lete),an American black bear,"lon ma Amelika lete la soweli pimeja li moku e kasi e soweli kin. | In North America, black bears are omnivores."
3,jan Lakuse,bear,n,1b,soweli pimeja walo (pi ma Asija),a panda bear,soweli pimeja walo ni li moku ala e kasi palisa ona tan seme? | Why is the panda not eating its bamboo?
3,jan Lakuse,bear,n,1c,soweli walo pi ma lete,a polar bear,mi pilin monsuta mute tan soweli walo pi ma lete. | I have a fear of polar bears.
3,jan Lakuse,bear,n,1d,soweli lape (pi ma Oselija),"koala bear, a tree-dwelling mammal native to Australia",jan Minsen li jo e luka mi sama soweli lape pi ma Oselija. | Minsin clasped my arm like a koala.
3,jan Lakuse,bear,n,2,mije suli pi linja sijelo mute,"a large, hairy, gay man",mi mije suli pi linja sijelo mute li wile unpa pi tenpo lili e mije ante mute. | I'm a bear seeking hook-ups.
3,jan Lakuse,bear,v,1,"jo, lon, awen","to carry or withstand, literally","jan Santa li jo e ilo musi mute. | Santa bears many presents.
jan lili tu wan li lon insa pi jan mama. | The expecting parent is bearing triplets."
3,jan Lakuse,bear,v,2,"jo, lon, awen","to carry or withstand, figuratively",noka ona li awen e linja kipisi pi tenpo ike pakala ona. | Her legs bear the scars of her trauma.
0,,beast,,,,,
0,,beat,,,,,
3,"kala Asi, waso Keli",beautiful,adj,,"pona, suwi, (tawa) lukin","pleasant, specifically visually",nasin linja la mi kama lon ma kasi pi **pona lukin**. | The bending road led us through a **beautiful** valley of flowers.
3,"kala Asi, waso Keli",beautiful,adj,,"pona, suwi (tawa) {kute, pilin, ...}",pleasant (including in nonvisual ways),mi kute e kalama pi jan Petopen. ona li **pona** a **tawa kute** mi. | I listened to Beethoven's most **beautiful** sonata.
3,jan Lakuse,beautiful,adj,,wawa,aesthetically exciting,"a, ilo sina li pali kepeken tenpo lili. pali **wawa** a!  | Wow, your code is so efficient. **Beautiful** work!"
0,,beauty,,,,,
